user,Welches Geschlecht haben Sie?,Wurden Sie in Deutschland geboren?,Wurde Ihre Mutter in Deutschland geboren?,Wurde Ihr Vater in Deutschland geboren?,"Hier ist eine Liste mit Klassen des monatlichen Haushaltseinkommens. Bitte geben Sie an, in welcher Klasse sich Ihr Haushalt befindet, wenn Sie das monatliche Nettoeinkommen aller Haushaltsmitglieder zusammenzählen: Löhne, Renten und andere Einkommen nach allen Abzügen für Steuern und Sozialversicherungen.","Was ist der höchste allgemeinbildende Schulabschluss, den Sie erreicht haben?","Was ist der höchste Studienabschluss, den Sie erreicht haben?","Was ist der höchste berufliche Ausbildungsabschluss, den Sie erreicht haben?","Sind Sie zurzeit berufstätig oder nicht? Bitte wählen Sie von dieser Liste das aus, was auf Sie zutrifft.",Welchen Familienstand haben Sie?,Welcher Religionsgemeinschaft gehören Sie an?,Welcher dieser Berufsgruppen ordnen Sie sich primär zu?,Was ist Ihre Postleitzahl? ,Wie alt sind Sie? 
IDDE102391,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,weiss nicht,47638,64
IDDE102392,männlich,Nein,Nein,Nein,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",30459,30
IDDE102393,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Diplom einer Verwaltungs-/Fachhochschule,Berufliche Zweitausbildung,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",86657,40
IDDE102394,männlich,Ja,Ja,Ja,bis 1100 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,keine Antwort,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,keine Antwort,40764,40
IDDE102395,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Master einer Berufsakademie,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),Weniger als 30 Stunden in der Woche,Verheiratet,Der römisch-katholischen Kirche,Dienstleistungsberufe in der medizinischen und Alterspflege,47589,42
IDDE102396,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Weiß nicht,keine Antwort,"Angelernte Arbeitskräfte in technischen und handwerklichen Berufen wie: Busfahrer, Möbelmonteur, Pförtner, Lagerarbeiter",59199,32
IDDE102397,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Diplom einer Verwaltungs-/Fachhochschule,Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),keine Antwort,90459,66
IDDE102398,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",63674,39
IDDE102399,männlich,Ja,Ja,Ja,über 1800 bis 2200 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",92660,38
IDDE102400,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,"Rentner, Ruhestand",Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",33442,69
IDDE102401,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",28359,51
IDDE102402,weiblich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Geschieden,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",45699,49
IDDE102403,weiblich,Nein,Nein,Nein,über 5250 bis 6250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Diplom einer Verwaltungs-/Fachhochschule,Anderer beruflicher Ausbildungsabschluss,Selbstständig,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",40468,47
IDDE102404,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),Studierende,72250,20
IDDE102405,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Promotion; Habilitation,Kein Ausbildungsabschluss,Weniger als 30 Stunden in der Woche,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",44309,37
IDDE102406,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),keine Antwort,26524,52
IDDE102407,weiblich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Promotion; Habilitation,Kein Ausbildungsabschluss,Dauerhaft arbeitsunfähig wegen einer Behinderung,Verheiratet,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",53343,60
IDDE102408,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,Weiß nicht,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",79540,54
IDDE102409,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Laufbahnprüfung für den mittleren Dienst,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",87439,39
IDDE102410,männlich,Ja,Ja,Ja,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",30454,39
IDDE102411,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),"Rentner, Ruhestand",Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",1109,68
IDDE102412,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",74838,26
IDDE102413,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Geschieden,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",34233,45
IDDE102414,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Weiß nicht,Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keiner,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",67663,30
IDDE102415,weiblich,Ja,Nein,Nein,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene kaufmännische Lehre,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Dem Islam,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",56379,26
IDDE102416,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,Studierende,1159,22
IDDE102417,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",85604,73
IDDE102418,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,keine Antwort,Anderer beruflicher Ausbildungsabschluss,Weniger als 30 Stunden in der Woche,Verheiratet,keine Antwort,"Ungelernte Arbeitskräfte in technischen und handwerklichen Berufen wie: Hilfsarbeiter, ungelernter Fabrikarbeiter, Reinigungskraft",45663,39
IDDE102419,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,Dienstleistungsberufe in der medizinischen und Alterspflege,88480,35
IDDE102420,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Anderer Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",98634,43
IDDE102421,weiblich,Ja,Ja,Ja,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,keine Antwort,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)","Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,keine Antwort,66115,52
IDDE102422,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",8064,32
IDDE102423,weiblich,Ja,Nein,Ja,über 2600 bis 3000 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Kein Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",85053,66
IDDE102424,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),"Bachelor einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Kein Ausbildungsabschluss,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,Studierende,7580,21
IDDE102425,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,Weniger als 30 Stunden in der Woche,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",7745,43
IDDE102426,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Anderer Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,"Rentner, Ruhestand",Verheiratet,keine Antwort,Dienstleistungsberufe in der medizinischen und Alterspflege,99192,68
IDDE102427,männlich,Ja,Ja,Ja,bis 1100 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Berufsakademie,Anderer beruflicher Ausbildungsabschluss,Dauerhaft arbeitsunfähig wegen einer Behinderung,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,weiss nicht,85072,42
IDDE102428,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",keine Antwort,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",19069,35
IDDE102429,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Master einer Berufsakademie,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),"Rentner, Ruhestand",Verheiratet,Der römisch-katholischen Kirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",96361,65
IDDE102430,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung",Verheiratet,Der römisch-katholischen Kirche,keine Antwort,14913,55
IDDE102431,weiblich,Ja,Nein,Nein,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,"Abschlusszeugnis für medizinische Assistenten, Krankenschwestern/ -pfleger (2- bis 3- jährige Schulen des Gesundheitswesens)","Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,Studierende,66424,22
IDDE102432,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Verwaltungs-/Fachhochschule,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",85077,31
IDDE102433,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Bachelor einer Berufsakademie,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",4319,54
IDDE102434,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Geschieden,keine Antwort,weiss nicht,40215,79
IDDE102435,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Bachelor einer Berufsakademie,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,keine Antwort,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",63450,31
IDDE102436,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Zwischenprüfung, Vordiplom",keine Antwort,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",35390,23
IDDE102437,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Anderer Studienabschluss,"Abschlusszeugnis für medizinische Assistenten, Krankenschwestern/ -pfleger (2- bis 3- jährige Schulen des Gesundheitswesens)",30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",4129,56
IDDE102438,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",4509,31
IDDE102439,weiblich,Ja,Ja,Nein,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Dauerhaft arbeitsunfähig wegen einer Behinderung,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",90419,39
IDDE102440,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,keine Antwort,Abgeschlossene kaufmännische Lehre,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung",Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",54338,54
IDDE102441,weiblich,Ja,Ja,Ja,über 2600 bis 3000 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",keine Antwort,30 Stunden in der Woche oder mehr,Eingetragene Lebenspartnerschaft,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",50678,32
IDDE102442,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",95652,26
IDDE102443,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",1099,25
IDDE102444,weiblich,Ja,Ja,Ja,über 2600 bis 3000 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Bachelor einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",34576,29
IDDE102445,männlich,Nein,Nein,Nein,über 3000 bis 3560 €,Anderer Schulabschluss,Kein Studienabschluss,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",41334,52
IDDE102446,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",22045,22
IDDE102447,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)",30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,keine Antwort,83024,25
IDDE102448,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",97074,26
IDDE102449,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",4347,37
IDDE102450,männlich,Ja,Ja,Ja,über 1800 bis 2200 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Master einer Berufsakademie,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",8056,24
